Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
121,-2.188412,-0.081407,9.304342,0.002441406,0.02832031,1.028809,15.99951,15.99951,15.12012
123,-2.145314,-0.062252,9.34744,0.002441406,0.01660156,0.9931641,15.99951,15.99951,15.12012
125,-2.145314,-0.07183,9.337862,-0.004882813,0.02832031,1.01709,15.99951,15.99951,15.12012
127,-2.130948,-0.067041,9.323497,-0.000976563,0.02050781,1.008789,15.99951,15.99951,15.12012
129,-2.140525,-0.076618,9.34744,0.006347656,0.02441406,1.01709,15.99951,15.99951,15.10938
131,-2.150103,-0.076618,9.323497,-0.01708984,-0.002441406,1.004883,15.99951,15.99951,15.10938
133,-2.130948,-0.062252,9.337862,-0.01708984,0.01660156,0.9931641,15.99951,15.99951,15.10938
135,-2.140525,-0.076618,9.342651,-0.01318359,0.01269531,1.020996,15.99951,15.99951,15.1123
137,-2.130948,-0.076618,9.323497,-0.000976563,0.01269531,1.020996,15.99951,15.99951,15.1123
139,-2.126159,-0.086196,9.337862,-0.000976563,0.008789063,1.004883,15.99951,15.99951,15.1123
141,-2.116582,-0.057464,9.323497,-0.01318359,0.008789063,0.9853516,15.99951,15.99951,15.1123
143,-2.102216,-0.07183,9.309131,0.01025391,0.000976563,0.9931641,15.99951,15.99951,15.11768
145,-2.121371,-0.086196,9.342651,-0.01708984,-0.002441406,0.9970703,15.99951,15.99951,15.11768
149,-2.08785,-0.081407,9.342651,-0.02880859,0.03613281,0.9970703,15.99951,15.99951,15.11768
152,-2.126159,-0.114928,9.323497,-0.01318359,-0.002441406,0.9814453,15.99951,15.99951,15.1123
154,-2.174046,-0.10535,9.323497,0.002441406,0.03613281,0.9814453,15.99951,15.99951,15.1123
156,-2.126159,-0.07183,9.328285,-0.000976563,0.02832031,0.9970703,15.99951,15.99951,15.1123
158,-2.107005,-0.081407,9.323497,-0.01318359,0.01269531,0.9697266,15.99951,15.99951,15.11475
160,-2.130948,-0.062252,9.357017,0.006347656,0.000976563,0.9892578,15.99951,15.99951,15.11475
162,-2.102216,-0.07183,9.361806,0.002441406,-0.02197266,1.013184,15.99951,15.99951,15.11475
164,-2.08785,-0.076618,9.294765,-0.004882813,0.02832031,1.01709,15.99951,15.99951,15.11475
166,-2.15968,-0.067041,9.342651,0.01806641,0.02050781,0.9853516,15.99951,15.99951,15.1123
168,-2.121371,-0.062252,9.328285,0.006347656,0.000976563,0.9853516,15.99951,15.99951,15.1123
170,-2.140525,-0.062252,9.333074,0.01416016,0.004882813,0.9970703,15.99951,15.99951,15.1123
172,-2.111794,-0.07183,9.328285,0.01806641,0.02050781,1.013184,15.99951,15.99951,15.11475
174,-2.083062,-0.057464,9.352228,0.002441406,0.008789063,0.9892578,15.99951,15.99951,15.11475
176,-2.044752,-0.086196,9.400115,-0.008789063,0.004882813,1.028809,15.99951,15.99951,15.11475
178,-1.312089,0.158025,8.820688,-0.02490234,-0.002441406,0.9892578,15.99951,15.99951,15.11475
180,-2.423056,0.277742,9.237301,-0.000976563,-0.006347656,0.9892578,15.99951,15.99951,15.11475
182,-2.293762,0.258587,9.304342,0.01025391,0.004882813,0.9736328,15.99951,15.99951,15.11475
185,-2.298551,0.263376,9.289976,-0.01318359,0.01660156,0.9853516,15.99951,15.99951,15.11475
187,-2.298551,0.272953,9.299553,-0.01708984,0.02832031,1.020996,15.99951,15.99951,15.11768
189,-2.308128,0.263376,9.280398,0.002441406,0.008789063,1.008789,15.99951,15.99951,15.11768
191,-2.288974,0.277742,9.289976,-0.02490234,0.000976563,0.9892578,15.99951,15.99951,15.11768
193,-2.288974,0.263376,9.294765,-0.01708984,0.02050781,0.9931641,15.99951,15.99951,15.11768
195,-2.298551,0.263376,9.242089,-0.008789063,0.000976563,1.013184,15.99951,15.99951,15.11768
197,-2.303339,0.277742,9.289976,-0.02880859,-0.006347656,0.9931641,15.99951,15.99951,15.11768
199,-2.322494,0.253798,9.285188,-0.04052734,0.004882813,1.008789,15.99951,15.99951,15.11768
201,-2.317705,0.268164,9.304342,-0.000976563,0.000976563,1.032715,15.99951,15.99951,15.11768
203,-2.303339,0.263376,9.27561,-0.000976563,0.01269531,0.9892578,15.99951,15.99951,15.11768
205,-2.312917,0.258587,9.304342,0.006347656,-0.006347656,0.9970703,15.99951,15.99951,15.11768
207,-2.317705,0.277742,9.294765,-0.01708984,0.008789063,1.013184,15.99951,15.99951,15.11768
209,-2.308128,0.268164,9.256455,-0.01708984,-0.006347656,1.008789,15.99951,15.99951,15.11768
211,-2.317705,0.272953,9.280398,0.006347656,0.01660156,0.9970703,15.99951,15.99951,15.11768
213,-2.322494,0.268164,9.313919,-0.004882813,0.03222656,0.9853516,15.99951,15.99951,15.11475
215,-2.308128,0.253798,9.280398,0.01806641,-0.01025391,0.9853516,15.99951,15.99951,15.11475
218,-2.317705,0.263376,9.285188,-0.004882813,-0.002441406,1.004883,15.99951,15.99951,15.11475
220,-2.303339,0.263376,9.27561,-0.02099609,0.03613281,1.020996,15.99951,15.99951,15.11475
222,-2.312917,0.263376,9.294765,-0.01318359,0.02441406,1.028809,15.99951,15.99951,15.1123
224,-2.308128,0.258587,9.280398,0.01806641,0.02832031,0.9775391,15.99951,15.99951,15.1123
226,-2.317705,0.277742,9.289976,-0.01318359,-0.002441406,0.9892578,15.99951,15.99951,15.1123
228,-2.308128,0.268164,9.289976,0.02197266,0.02441406,0.9853516,15.99951,15.99951,15.11768
230,-2.298551,0.272953,9.309131,-0.01318359,0.008789063,1.020996,15.99951,15.99951,15.11768
232,-2.312917,0.272953,9.318707,-0.004882813,-0.002441406,1.000977,15.99951,15.99951,15.11768
234,-2.312917,0.272953,9.280398,0.002441406,-0.01416016,1.008789,15.99951,15.99951,15.11768
236,-2.298551,0.277742,9.27561,-0.01708984,-0.01416016,0.9853516,15.99951,15.99951,15.10449
238,-2.303339,0.258587,9.299553,-0.000976563,0.004882813,1.01709,15.99951,15.99951,15.10449
240,-2.317705,0.263376,9.27561,-0.02490234,0.01269531,1.028809,15.99951,15.99951,15.10449
242,-2.308128,0.263376,9.256455,-0.02099609,-0.002441406,0.9931641,15.99951,15.99951,15.1123
244,-2.308128,0.268164,9.294765,-0.01708984,0.008789063,1.020996,15.99951,15.99951,15.1123
246,-2.332071,0.263376,9.261244,0.01806641,-0.002441406,0.9736328,15.99951,15.99951,15.1123
248,-2.322494,0.263376,9.304342,-0.01708984,0.03222656,0.9970703,15.99951,15.99951,15.11768
251,-2.303339,0.268164,9.299553,-0.02099609,0.008789063,0.9853516,15.99951,15.99951,15.11768
253,-2.303339,0.258587,9.270822,-0.02490234,0.000976563,0.9892578,15.99951,15.99951,15.11768
255,-2.308128,0.24901,9.285188,-0.02099609,0.01660156,1.004883,15.99951,15.99951,15.11768
257,-2.303339,0.258587,9.289976,-0.000976563,0.008789063,1.04834,15.99951,15.99951,15.10693
259,-2.303339,0.258587,9.289976,-0.02099609,0.000976563,1.020996,15.99951,15.99951,15.10693
261,-2.312917,0.24901,9.289976,-0.008789063,-0.01025391,1.01709,15.99951,15.99951,15.10693
263,-2.327283,0.258587,9.289976,0.02197266,0.01660156,1.013184,15.99951,15.99951,15.12012
265,-2.308128,0.253798,9.270822,-0.01708984,0.02832031,0.9814453,15.99951,15.99951,15.12012
267,-2.327283,0.258587,9.266033,-0.02099609,-0.006347656,0.9853516,15.99951,15.99951,15.12012
269,-2.308128,0.253798,9.289976,-0.01708984,0.01269531,1.036621,15.99951,15.99951,15.12012
271,-2.298551,0.263376,9.289976,-0.01708984,0.004882813,0.9775391,15.99951,15.99951,15.12012
273,-2.308128,0.263376,9.270822,0.01806641,0.02050781,1.004883,15.99951,15.99951,15.12012
